module,file,blueprint,methods,route,function,action,has_jwt_required,decorators,initial_risk,notes
Usuarios / Admin,backend/app/routes/admin_usuarios_routes.py,admin_usuarios_bp,GET,/<int:user_id>/sucursales,get_sucursales_usuario_admin,read,True,"route,jwt_required",low_read,
Usuarios / Admin,backend/app/routes/admin_usuarios_routes.py,admin_usuarios_bp,PUT,/<int:user_id>/sucursales,put_sucursales_usuario_admin,update,True,"route,jwt_required",medium_write,
Auth,backend/app/routes/auth_routes.py,auth_bp,POST,/login,login,login,False,route,expected_public_login,
Auth,backend/app/routes/auth_routes.py,auth_bp,"GET,OPTIONS",/session-info,session_info,read,True,"route,jwt_required",low_read,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/<string:catalogo>,listar_catalogo,read,True,"route,jwt_required",low_read,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/<string:catalogo>,crear_catalogo,create/execute,True,"route,jwt_required",medium_write,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,PUT,/<string:catalogo>/<int:elemento_id>,editar_catalogo,update,True,"route,jwt_required",medium_write,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,DELETE,/<string:catalogo>/<int:elemento_id>,eliminar_catalogo,delete,True,"route,jwt_required",high_delete,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/clasificaciones/arbol,arbol_clasificaciones,read,True,"route,jwt_required",low_read,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/clasificaciones/<int:elemento_id>/desactivar,desactivar_clasificacion,create/execute,True,"route,jwt_required",medium_write,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/clasificaciones/<int:elemento_id>/reactivar,reactivar_clasificacion,create/execute,True,"route,jwt_required",medium_write,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/clasificaciones/todos,todas_las_clasificaciones,read,True,"route,jwt_required",low_read,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/<string:catalogo>/buscar,buscar_catalogo,read,True,"route,jwt_required",low_read,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/dropdown/<string:catalogo>,dropdown_catalogo,read,True,"route,jwt_required",low_read,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,POST,/<string:catalogo>/importar,importar_catalogo,import,True,"route,jwt_required",high_job_or_import,
Catálogos,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/<string:catalogo>/exportar,exportar_catalogo,export,True,"route,jwt_required",low_read,
Inventario,backend/app/routes/catalogos_routes.py,catalogos_bp,GET,/inventario/categorias,categorias_inventario_distintas,read,True,"route,jwt_required",low_read,
General / Otro,backend/app/routes/departamentos_routes.py,departamentos_bp,GET,/listar,listar_departamentos,read,True,"route,jwt_required",low_read,
Tickets,backend/app/routes/formulario_ticket_routes.py,formulario_ticket_bp,GET,/<int:formulario_id>,obtener_formulario,read,True,"route,jwt_required",low_read,
Tickets,backend/app/routes/formulario_ticket_routes.py,formulario_ticket_bp,GET,/lista,lista_formularios,read,True,"route,jwt_required",low_read,
Tickets,backend/app/routes/formulario_ticket_routes.py,formulario_ticket_bp,GET,/departamentos_disponibles,departamentos_disponibles,read,True,"route,jwt_required",low_read,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,GET,/access,internal_documents_access,read,True,"route,jwt_required",low_read,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,GET,/categories,list_internal_document_categories,read,True,"route,jwt_required",low_read,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,GET,,list_internal_documents,read,True,"route,jwt_required",low_read,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,GET,/<int:document_id>,get_internal_document_detail,read,True,"route,jwt_required",low_read,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,POST,,create_internal_document,create/execute,True,"route,jwt_required",medium_write,
Nube Corporativa,backend/app/routes/internal_documents_routes.py,internal_documents_bp,PATCH,/<int:document_id>,update_internal_document_metadata,update,True,"route,jwt_required",medium_write,
