"id";"codigo";"sucursal_id";"descripcion";"marca";"grupo_muscular";"categoria";"numero_equipo"
1;"01CABRSTSG01";1;"Bicicleta Recumbente";"Star Trac";"Sin grupo muscular";"Cardio";"01"
2;"01CACALFSG01";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"01"
3;"01CAELPRSG01";1;"Eliptica";"Precor";"Sin grupo muscular";"Cardio";"01"
4;"01CAESMTSG01";1;"Escalera";"Matrix";"Sin grupo muscular";"Cardio";"01"
5;"01CABRSTSG02";1;"Bicicleta Recumbente";"Star Trac";"Sin grupo muscular";"Cardio";"02"
6;"01CACALFSG02";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"02"
7;"01CAELPRSG02";1;"Eliptica";"Precor";"Sin grupo muscular";"Cardio";"02"
8;"01CABVSTSG03";1;"Bicicleta Vertical";"Star Trac";"Sin grupo muscular";"Cardio";"03"
9;"01CACALFSG03";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"03"
10;"01CAELPRSG03";1;"Eliptica";"Precor";"Sin grupo muscular";"Cardio";"03"
11;"01CACVSTSG04";1;"Bicicleta Vertical";"Star Trac";"Sin grupo muscular";"Cardio";"04"
12;"01CACALFSG04";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"04"
13;"01CAECLFSG04";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"04"
14;"01CACALFSG05";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"05"
15;"01CAECLFSG05";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"05"
16;"01CACALFSG06";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"06"
17;"01CAECLFSG06";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"06"
18;"01CACALFSG07";1;"Caminadora";"Life Fitnes";"Sin grupo muscular";"Cardio";"07"
19;"01CAECLFSG07";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"07"
20;"01CACASTSG08";1;"Caminadora";"Star Trac";"Sin grupo muscular";"Cardio";"08"
21;"01CAECLFSG08";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"08"
22;"01CACASTSG09";1;"Caminadora";"Star Trac";"Sin grupo muscular";"Cardio";"09"
23;"01CAECLFSG09";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"09"
24;"01CACASTSG10";1;"Caminadora";"Star Trac";"Sin grupo muscular";"Cardio";"10"
25;"01CAECLFSG10";1;"Eliptica Cross";"Life Fitnes";"Sin grupo muscular";"Cardio";"10"
26;"01CACASTSG11";1;"Caminadora";"Star Trac";"Sin grupo muscular";"Cardio";"11"
27;"01CAATCBSG11";1;"Arc Trainer";"Cybex";"Sin grupo muscular";"Cardio";"11"
28;"01CABSKESG01";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"01"
29;"01CABSKESG02";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"02"
30;"01CABSKESG03";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"03"
31;"01CABSKESG04";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"04"
32;"01CABSKESG05";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"05"
33;"01CABSKESG06";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"06"
34;"01CABSKESG07";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"07"
35;"01CABSKESG08";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"08"
36;"01CABSKESG09";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"09"
37;"01CABSKESG10";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"10"
38;"01CABSKESG11";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"11"
39;"01CABSKESG12";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"12"
40;"01CABSKESG13";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"13"
41;"01CABSKESG14";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"14"
42;"01CABSKESG15";1;"Bicicleta P/Spinning";"Keiser";"Sin grupo muscular";"Cardio";"15"
